"long","lat","group","order","region","subregion"
-87.4620056152344,30.3896808624268,1,1,"Alabama",
-87.4849319458008,30.3724918365479,1,2,"Alabama",
-87.525032043457,30.3724918365479,1,3,"Alabama",
-87.53076171875,30.3323860168457,1,4,"Alabama",
-87.5708694458008,30.3266544342041,1,5,"Alabama",
-87.5880584716797,30.3266544342041,1,6,"Alabama",
-87.5937881469727,30.3094673156738,1,7,"Alabama",
-87.5937881469727,30.286548614502,1,8,"Alabama",
-87.6740036010742,30.275089263916,1,9,"Alabama",
-87.8115158081055,30.2579021453857,1,10,"Alabama",
-87.8802642822266,30.2464408874512,1,11,"Alabama",
-87.9203720092773,30.2464408874512,1,12,"Alabama",
-87.9547500610352,30.2464408874512,1,13,"Alabama",
-88.0063171386719,30.2407131195068,1,14,"Alabama",
-88.0177764892578,30.2521705627441,1,15,"Alabama",
-88.0120468139648,30.269359588623,1,16,"Alabama",
-87.9948577880859,30.275089263916,1,17,"Alabama",
-87.9547500610352,30.275089263916,1,18,"Alabama",
-87.9031829833984,30.2808208465576,1,19,"Alabama",
-87.8286972045898,30.286548614502,1,20,"Alabama",
-87.8000564575195,30.286548614502,1,21,"Alabama",
-87.8000564575195,30.3266544342041,1,22,"Alabama",
-87.8172378540039,30.3438453674316,1,23,"Alabama",
-87.8401565551758,30.3839530944824,1,24,"Alabama",
-87.8516235351562,30.4011421203613,1,25,"Alabama",
-87.8745346069336,30.4125995635986,1,26,"Alabama",
-87.9031829833984,30.4240608215332,1,27,"Alabama",
-87.9261016845703,30.4469795227051,1,28,"Alabama",
-87.9318313598633,30.4928131103516,1,29,"Alabama",
-87.9432907104492,30.527193069458,1,30,"Alabama",
-87.9203720092773,30.5615692138672,1,31,"Alabama",
-87.9146423339844,30.5844879150391,1,32,"Alabama",
-87.9261016845703,30.6188640594482,1,33,"Alabama",
-87.9203720092773,30.670431137085,1,34,"Alabama",
-87.9490203857422,30.6990776062012,1,35,"Alabama",
-87.989128112793,30.7907524108887,1,36,"Alabama",
-88.0063171386719,30.7964820861816,1,37,"Alabama",
-88.0177764892578,30.802209854126,1,38,"Alabama",
-88.0349655151367,30.7907524108887,1,39,"Alabama",
-88.0464248657227,30.7563762664795,1,40,"Alabama",
-88.0521545410156,30.727725982666,1,41,"Alabama",
-88.0521545410156,30.7105388641357,1,42,"Alabama",
-88.063606262207,30.6876201629639,1,43,"Alabama",
-88.0693435668945,30.6818885803223,1,44,"Alabama",
-88.0808029174805,30.6303253173828,1,45,"Alabama",
-88.0808029174805,30.6131362915039,1,46,"Alabama",
-88.0979919433594,30.6074066162109,1,47,"Alabama",
-88.1094436645508,30.5959453582764,1,48,"Alabama",
-88.1151809692383,30.5844879150391,1,49,"Alabama",
-88.1094436645508,30.5558376312256,1,50,"Alabama",
-88.1209106445312,30.4813556671143,1,51,"Alabama",
-88.1209106445312,30.4412479400635,1,52,"Alabama",
-88.1266403198242,30.3896808624268,1,53,"Alabama",
-88.1323699951172,30.3610343933105,1,54,"Alabama",
-88.1438293457031,30.3438453674316,1,55,"Alabama",
-88.161018371582,30.3381156921387,1,56,"Alabama",
-88.172477722168,30.3381156921387,1,57,"Alabama",
-88.1896591186523,30.3553047180176,1,58,"Alabama",
-88.2240447998047,30.3782234191895,1,59,"Alabama",
-88.2354965209961,30.3954105377197,1,60,"Alabama",
-88.2870635986328,30.4011421203613,1,61,"Alabama",
-88.3157119750977,30.4011421203613,1,62,"Alabama",
-88.3329010009766,30.4011421203613,1,63,"Alabama",
-88.35009765625,30.4240608215332,1,64,"Alabama",
-88.3902053833008,30.4125995635986,1,65,"Alabama",
-88.4073867797852,30.7334575653076,1,66,"Alabama",
-88.4188461303711,30.9970169067383,1,67,"Alabama",
-88.430305480957,31.123067855835,1,68,"Alabama",
-88.4532241821289,31.432466506958,1,69,"Alabama",
-88.4646835327148,31.6960258483887,1,70,"Alabama",
-88.4761428833008,31.8908290863037,1,71,"Alabama",
-88.430305480957,32.22314453125,1,72,"Alabama",
-88.430305480957,32.3090896606445,1,73,"Alabama",
-88.3902053833008,32.5783805847168,1,74,"Alabama",
-88.35009765625,32.9221534729004,1,75,"Alabama",
-88.3386306762695,32.985179901123,1,76,"Alabama",
-88.2985305786133,33.2831192016602,1,77,"Alabama",
-88.2756042480469,33.5294914245605,1,78,"Alabama",
-88.2526931762695,33.7357559204102,1,79,"Alabama",
-88.2068557739258,34.0623397827148,1,80,"Alabama",
-88.2068557739258,34.0795288085938,1,81,"Alabama",
-88.1839370727539,34.3144416809082,1,82,"Alabama",
-88.166748046875,34.4634094238281,1,83,"Alabama",
-88.1495513916016,34.5837326049805,1,84,"Alabama",
-88.1094436645508,34.8988571166992,1,85,"Alabama",
-88.1323699951172,34.9045906066895,1,86,"Alabama",
-88.166748046875,34.9504280090332,1,87,"Alabama",
-88.1896591186523,34.996265411377,1,88,"Alabama",
-88.1839370727539,35.0134506225586,1,89,"Alabama",
-87.989128112793,35.0134506225586,1,90,"Alabama",
-87.6052474975586,35.0077209472656,1,91,"Alabama",
-87.2270965576172,35.0019912719727,1,92,"Alabama",
-87.2041702270508,35.0019912719727,1,93,"Alabama",
-86.8260269165039,34.996265411377,1,94,"Alabama",
-86.7801895141602,34.9905319213867,1,95,"Alabama",
-86.3103637695312,34.9905319213867,1,96,"Alabama",
-85.8519973754883,34.9848022460938,1,97,"Alabama",
-85.6113510131836,34.9790725708008,1,98,"Alabama",
-85.5884399414062,34.8415641784668,1,99,"Alabama",
-85.5426025390625,34.6181106567383,1,100,"Alabama",
-85.5254058837891,34.5837326049805,1,101,"Alabama",
-85.4681167602539,34.2628746032715,1,102,"Alabama",
-85.4280090332031,34.0795288085938,1,103,"Alabama",
-85.4050903320312,33.9592094421387,1,104,"Alabama",
-85.3936309814453,33.907642364502,1,105,"Alabama",
-85.3477935791016,33.6612701416016,1,106,"Alabama",
-85.3134155273438,33.4951095581055,1,107,"Alabama",
-85.2962265014648,33.4320907592773,1,108,"Alabama",
-85.2446594238281,33.1169624328613,1,109,"Alabama",
-85.2389297485352,33.1054992675781,1,110,"Alabama",
-85.1930923461914,32.8705902099609,1,111,"Alabama",
-85.1930923461914,32.8591270446777,1,112,"Alabama",
-85.1701812744141,32.8419418334961,1,113,"Alabama",
-85.1472549438477,32.7903747558594,1,114,"Alabama",
-85.1300735473633,32.7674560546875,1,115,"Alabama",
-85.1300735473633,32.7502670288086,1,116,"Alabama",
-85.1243438720703,32.733081817627,1,117,"Alabama",
-85.1014175415039,32.67578125,1,118,"Alabama",
-85.1014175415039,32.6356735229492,1,119,"Alabama",
